ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
134,Asus Vivobook 14 OLED M1405YA,11499000,"AMD Ryzen™ 7 7730U Processor 2.0GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads)",16,1000,7.0,60,90,100,80,79.0
135,Asus Vivobook 16 M1605NAQ,12999000,"AMD Ryzen 5 150 Processor 3.3GHz (18MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)",16,512,7.0,80,90,80,80,83.0
136,Asus Vivobook E1504FA,9399000,"AMD Ryzen 5 7520U Mobile Processor 2.8GHz (4-core/8-thread, 4MB cache, up to 4.3 GHz max boost)",16,512,7.0,80,90,80,80,83.0
137,Asus Vivobook Flip S14 TP3407SA-OLED5152M,19999000,"Intel Core Ultra 5 Processor 226V 2.1 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads) Intel AI Boost NPU up to 40",16,512,7.0,80,90,80,80,83.0
138,Asus Vivobook Flip TP3407AA-OLED7151TM,25999000,Intel NPU up to 50TOPS,16,512,7.0,60,90,80,80,75.0
139,Asus Vivobook Go 12 E210KA,3649000,"Intel Celeron N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,512,7.0,60,70,80,80,69.0
140,Asus Vivobook Go 14 E1404FA,8299000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",8,512,7.0,60,70,80,80,69.0
141,Asus Vivobook Go 14 E1404FA,7899000,"AMD Ryzen™ 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
142,Asus Vivobook Go 14 E1404FA,5949000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",8,256,7.0,60,70,60,80,65.0
143,Asus Vivobook Go 14 E1404FA,5599000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",8,256,7.0,60,70,60,80,65.0
144,Asus Vivobook Go 14 E1404FA,6199000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",8,512,7.0,60,70,80,80,69.0
